Date,Close,Volume,Open,High,Low,SMA_50,SMA_200,RSI,ATR
2023-10-06,79.02,12329630,75.0,79.91,74.24,84.97019999999999,116.25715,26.801899017110486,11.870200000000011
2023-10-05,76.41,8347264,76.33,76.86,74.62,84.476,115.92965,14.460405027046278,11.379500000000007
2023-10-04,76.62,12714520,75.16,76.975,74.36,83.9774,115.5517,5.9767369474963346,11.379500000000007
2023-10-03,74.93,13343710,76.83,77.71,74.169,83.46279999999999,115.1613,6.013677308356961,9.630099999999999
2023-10-02,78.11,13468250,77.72,78.81,76.56,83.09020000000001,114.8091,13.40811395020937,9.391100000000009
2023-09-29,78.2,15546100,80.54,80.6158,77.37,82.7448,114.44145,5.566038792401272,9.391100000000009
2023-09-28,78.87,11895170,77.25,79.78,76.84,82.43540000000002,114.05885,0.3551632724573608,9.391100000000009
2023-09-27,77.51,14746910,78.12,78.44,75.51,82.1212,113.63509999999998,-24.21662726519223,9.111000000000004
2023-09-26,77.47,13269800,79.29,79.7034,77.0199,81.8466,113.2252,-24.896345343459004,9.111000000000004
2023-09-25,81.08,8551718,79.36,81.11,79.14,81.62,112.83980000000001,5.158155408605381,9.111000000000004
2023-09-22,80.08,10103930,81.25,82.1738,79.88,81.3716,112.46305000000001,-3.4022650878801386,9.111000000000004
2023-09-21,80.74,10337700,83.2,83.36,80.6,81.108,112.069,-7.270381660949113,9.191000000000003
2023-09-20,84.96,10040740,88.13,88.4116,84.89,80.9594,111.71844999999999,10.211890601641343,14.24260000000001
2023-09-19,87.49,7027664,87.38,87.76,85.77,80.8808,111.38245,18.812757475702043,14.24260000000001
2023-09-18,88.24,5653784,87.85,88.98,87.56,80.81400000000001,111.0526,23.928311966997725,14.811000000000007
2023-09-15,88.07,9077427,90.44,90.58,87.8016,80.7488,110.73459999999999,30.709705135700034,16.411
2023-09-14,91.43,5651198,90.68,91.85,89.83,80.7404,110.4429,34.5684070317766,17.680999999999997
2023-09-13,89.25,6003118,89.0,89.92,88.34,80.6902,110.1542,34.16280509526456,16.33999999999999
2023-09-12,88.91,5367282,89.49,90.45,88.56,80.6536,109.86840000000001,28.827884360111,16.33999999999999
2023-09-11,90.44,5197350,90.28,90.63,89.24,80.6344,109.58094999999999,31.25511936004129,16.33999999999999
2023-09-08,88.72,5427644,88.39,89.66,88.12,80.6182,109.28739999999999,25.997326526101077,16.33999999999999
2023-09-07,88.33,5910672,87.34,88.79,87.12,80.60379999999999,108.99475000000001,28.639676279646622,14.830099999999987
2023-09-06,89.29,6308569,90.6,90.66,87.81,80.61280000000001,108.71375,30.480388247206662,12.709999999999994
2023-09-05,91.14,4136844,92.07,92.26,91.0963,80.66980000000001,108.43575000000001,28.362289222032786,12.38000000000001
2023-09-01,92.37,5485424,93.62,93.88,91.44,80.84899999999999,108.15865,33.332017826179836,13.280000000000001
2023-08-31,91.91,5453433,92.71,93.41,91.79,81.01299999999999,107.87305,30.85332151395822,8.989999999999995
2023-08-30,92.47,7348847,91.53,92.8,91.02,81.262,107.59565,26.307180675948317,8.11
