Date,Close,Volume,Open,High,Low
04/24/2018,40.64,8699452,42.86,42.97,39.78
04/23/2018,42.29,3230047,42.63,42.94,41.721
04/20/2018,42.32,5685411,43.43,43.521,41.85
04/19/2018,43.45,4207461,43.80,43.94,42.89
04/18/2018,44.17,3280089,44.39,44.6374,43.94
04/17/2018,44.09,3988886,43.69,44.41,43.38
04/16/2018,42.73,3732363,42.58,43.15,42.14
04/13/2018,41.73,6000659,42.78,42.865,41.16
04/12/2018,42.11,5956487,41.80,42.60,41.70
04/11/2018,41.07,6573267,40.99,42.02,40.94
04/10/2018,41.79,7422018,41.38,42.192,40.79
04/09/2018,39.79,6720689,40.10,41.6067,39.6446
04/06/2018,39.34,10682050,41.06,41.85,38.50
04/05/2018,42.10,6683260,42.08,42.589,41.4934
04/04/2018,41.22,9975655,38.07,41.5196,37.99
04/03/2018,39.93,9139866,39.10,40.16,38.11
04/02/2018,38.42,12040920,40.85,41.12,37.12
03/29/2018,41.29,7689669,40.23,42.09,39.8193
03/28/2018,39.64,9851346,40.06,40.92,39.02
03/27/2018,39.92,7767085,42.66,42.94,39.15
03/26/2018,42.19,9008437,40.83,42.319,39.581
03/23/2018,38.93,10324120,41.92,42.2799,38.86
03/22/2018,41.69,9925769,43.73,44.25,41.49
03/21/2018,45.04,4530938,45.25,46.44,44.89
03/20/2018,45.27,3130047,45.25,45.63,44.90
03/19/2018,45.05,6396649,46.50,46.53,44.10
03/16/2018,46.96,4253531,47.11,47.599,46.96
03/15/2018,46.85,4178669,47.34,47.699,46.57
03/14/2018,47.02,4255306,48.32,48.42,46.69
03/13/2018,47.75,7355635,49.41,49.72,47.4048
03/12/2018,48.72,4610111,49.10,49.46,48.50
03/09/2018,48.89,5859058,47.31,48.92,47.11
03/08/2018,46.51,4745478,46.22,46.5694,45.65
03/07/2018,45.86,7439643,44.63,46.05,44.53
03/06/2018,45.89,4886005,46.10,46.11,45.04
03/05/2018,45.53,8213948,43.36,45.86,43.29
03/02/2018,44.06,8629440,42.43,44.33,41.94
03/01/2018,43.38,10755080,45.28,46.11,42.521
02/28/2018,45.23,7727365,47.45,47.7171,45.21
02/27/2018,46.78,6944781,48.72,49.169,46.78
02/26/2018,48.62,5524965,47.60,48.689,47.30
02/23/2018,46.98,5186076,45.57,46.98,45.27
02/22/2018,44.84,7915526,45.22,46.14,44.47
02/21/2018,44.62,8014271,45.60,47.02,44.62
02/20/2018,45.37,6575502,45.69,46.50,44.91
02/16/2018,46.20,7852968,45.83,47.38,45.82
02/15/2018,46.19,7557417,45.49,46.19,44.10
02/14/2018,44.52,7005391,42.03,44.70,42.00
02/13/2018,42.81,6580922,41.79,43.10,41.52
02/12/2018,42.43,9358533,41.80,43.25,40.881
02/09/2018,40.83,15463460,40.46,41.68,36.82
02/08/2018,39.04,13238570,44.07,44.17,38.97
02/07/2018,43.92,9494848,44.37,46.25,43.91
02/06/2018,44.69,13287200,40.26,44.95,39.75
02/05/2018,42.34,13266500,47.10,48.40,41.82
02/02/2018,48.27,7005722,50.75,50.861,48.22
02/01/2018,51.63,4276596,51.29,52.4562,51.16
01/31/2018,51.84,4040928,52.31,52.60,51.14
01/30/2018,51.71,5653907,52.17,52.60,51.41
01/29/2018,53.41,3065491,54.14,54.3982,53.301
01/26/2018,54.48,2218211,53.19,54.4899,53.041
01/25/2018,52.69,3111794,53.19,53.237,52.2151
01/24/2018,52.62,3644309,53.10,53.48,51.89
01/23/2018,52.70,2429386,52.40,52.88,52.20
01/22/2018,52.35,2412456,50.93,52.35,50.93
01/19/2018,51.09,2113802,50.78,51.09,50.42
01/18/2018,50.46,2049452,50.60,50.88,50.13
01/17/2018,50.66,2513187,49.84,50.91,49.40
01/16/2018,49.29,5161236,50.59,50.99,48.85
01/12/2018,49.82,2574165,49.04,49.9184,48.95
01/11/2018,48.87,1912709,48.17,48.87,48.06
01/10/2018,47.79,2423190,47.61,47.98,47.21
01/09/2018,48.07,1593843,48.00,48.42,47.83
01/08/2018,47.74,1982428,47.42,47.82,47.251
01/05/2018,47.45,1926490,47.03,47.56,46.7398
01/04/2018,46.57,2577605,46.38,46.8695,46.32
01/03/2018,45.99,2148252,45.27,46.0899,45.25
01/02/2018,45.19,1825240,44.73,45.19,44.50
12/29/2017,44.33,2484113,45.04,45.04,44.12
12/28/2017,44.74,2203926,44.74,44.79,44.55
12/27/2017,44.52,1114926,44.53,44.71,44.36
12/26/2017,44.44,804331,44.41,44.54,44.30
12/22/2017,44.60,1342138,44.65,44.66,44.301
12/21/2017,44.65,2005184,44.72,45.059,44.52
12/20/2017,44.42,1787923,45.00,45.05,44.24
12/19/2017,44.52,3137596,45.17,45.17,44.46
12/18/2017,45.14,1619147,45.05,45.295,44.99
12/15/2017,44.27,2122578,43.76,44.52,43.72
12/14/2017,43.21,1293746,43.93,43.96,43.16
12/13/2017,43.74,6414907,43.92,44.15,43.695
12/12/2017,45.39,1521814,45.30,45.6499,45.15
12/11/2017,45.14,1088847,44.76,45.17,44.73
12/08/2017,44.73,1419207,44.50,44.75,44.34
12/07/2017,44.01,1268138,43.54,44.20,43.48
12/06/2017,43.59,1397235,43.40,43.86,43.36
12/05/2017,43.60,2123317,44.19,44.587,43.5238
12/04/2017,44.09,2748518,45.19,45.43,44.08
12/01/2017,44.25,4087117,44.43,44.67,42.41
11/30/2017,44.48,3100899,43.92,45.04,43.88
11/29/2017,43.39,2623824,43.58,43.86,43.15
11/28/2017,43.47,1405327,42.46,43.50,42.4175
11/27/2017,42.21,1181728,42.27,42.4557,42.09
11/24/2017,42.25,607366,42.27,42.3299,42.18
11/22/2017,42.01,842241,42.14,42.1867,41.91
11/21/2017,42.10,1270183,41.74,42.21,41.69
11/20/2017,41.28,909849,41.22,41.41,41.10
11/17/2017,41.13,1323415,41.28,41.39,41.07
11/16/2017,41.46,2043068,40.97,41.68,40.95
11/15/2017,40.46,1748956,40.55,40.82,40.08
11/14/2017,41.10,1418100,40.93,41.15,40.50
11/13/2017,41.37,1039705,40.88,41.50,40.869
11/10/2017,41.26,1738759,41.11,41.32,40.92
11/09/2017,41.34,2345107,41.14,41.43,40.4541
11/08/2017,41.81,923592,41.45,41.8311,41.339
11/07/2017,41.60,1328691,41.74,41.90,41.30
11/06/2017,41.63,1075579,41.40,41.73,41.36
11/03/2017,41.46,1463675,41.18,41.4999,40.93
11/02/2017,41.10,1396314,41.02,41.152,40.42
11/01/2017,41.07,1328191,41.32,41.4953,40.85
10/31/2017,40.87,1025075,40.92,41.02,40.7284
10/30/2017,40.73,1203001,40.85,41.10,40.54
10/27/2017,41.15,1776922,40.61,41.24,40.44
10/26/2017,40.20,1951069,40.36,40.515,40.16
10/25/2017,40.07,3096623,40.47,40.52,39.42
10/24/2017,40.65,1363310,40.66,40.77,40.46
10/23/2017,40.46,1739089,41.07,41.07,40.39
10/20/2017,40.88,1931713,40.73,40.91,40.59
10/19/2017,40.32,1719910,39.87,40.32,39.63
10/18/2017,40.26,894161,40.37,40.39,40.18
10/17/2017,40.16,997096,40.06,40.19,39.95
10/16/2017,40.08,1327427,40.06,40.19,39.875
10/13/2017,39.93,1723941,40.02,40.09,39.84
10/12/2017,39.80,1098645,39.81,40.00,39.67
10/11/2017,39.99,1247852,39.75,40.00,39.68
10/10/2017,39.80,1019971,39.79,40.005,39.52
10/09/2017,39.52,960448,39.80,39.85,39.36
10/06/2017,39.69,1158703,39.60,39.7328,39.4601
10/05/2017,39.82,1344952,39.32,39.84,39.2572
10/04/2017,39.13,1404458,38.95,39.284,38.89
10/03/2017,39.02,610018,38.84,39.02,38.73
10/02/2017,38.76,1112857,38.39,38.76,38.35
09/29/2017,38.23,984157,37.85,38.30,37.79
09/28/2017,37.88,921724,37.61,37.922,37.579
09/27/2017,37.74,1743297,37.69,37.96,37.2484
09/26/2017,37.35,1111485,37.48,37.61,37.221
09/25/2017,37.30,1758586,37.35,37.55,36.8899
09/22/2017,37.51,591376,37.32,37.59,37.31
09/21/2017,37.51,767126,37.73,37.75,37.4064
09/20/2017,37.83,930154,37.81,37.86,37.27
09/19/2017,37.75,378849,37.77,37.81,37.59
09/18/2017,37.64,821818,37.61,37.8299,37.45
